,Text_clean,positive_score,negative_score,polarity_score,number_words,subjectivity,Sentiment
103,giga berlin progress,1,0,0.9999990000010001,3,0.33333322222225925,Most Positive
104,neuralink is working super hard to ensure implant safety &amp is in close communication with the,1,1,0.0,11,0.1818181652892577,Neutral
105, this mission enables access for everyday people who dream of going to space,0,0,0.0,7,0.0,Neutral
106, announcing the first commercial astronaut mission to orbit earth aboard dragon u+,0,0,0.0,9,0.0,Neutral
107,if youve worked on advanced wearables phones or robots those skills are needed,2,0,0.99999950000025,8,0.24999996875000394,Most Positive
108,feels weird helping make hopefully good version of cyberpunk come true,2,1,0.33333322222225925,8,0.3749999531250059,Positive
109,please consider working at neuralinkshort term solve brain spine injurieslong term human ai symbiosis latte,0,0,0.0,12,0.0,Neutral
110,,0,0,0.0,0,0.0,Neutral
111,on clubhouse tonight at pm la time,0,0,0.0,5,0.0,Neutral
112,tom has some great stories about experim,1,0,0.9999990000010001,4,0.24999993750001562,Most Positive
113, launch alert u+f and are targeting no earlier than april for the launch of the second crew rotation mis,0,0,0.0,10,0.0,Neutral
114,he became a big fan of methane but was,0,0,0.0,3,0.0,Neutral
115,that sounds correct tom certainly deserves a lot of cre,1,0,0.9999990000010001,6,0.16666663888889352,Most Positive
116,tom is great &amp was instrumental in developing early vers,2,0,0.99999950000025,8,0.24999996875000394,Most Positive
117,t w will be ~ so it will accelerate unusually fast high t w is important for reusable v,2,1,0.33333322222225925,7,0.4285713673469475,Positive
118,no escaping that for me,0,0,0.0,1,0.0,Neutral
119,read the whole article u+fu+f,0,0,0.0,3,0.0,Neutral
120,warm sunny day &amp snowy mountains,1,0,0.9999990000010001,7,0.1428571224489825,Most Positive
121,what a beautiful day in la,1,0,0.9999990000010001,3,0.33333322222225925,Most Positive
122,yeah dr frankensteen,0,0,0.0,3,0.0,Neutral
123,i never used this guy he gave a talk at spacex once,0,0,0.0,4,0.0,Neutral
124,only halo,0,0,0.0,1,0.0,Neutral
125,,0,0,0.0,0,0.0,Neutral
126,i sure hope thats not true at tesla or spacex,0,0,0.0,4,0.0,Neutral
127,cryoproof then install engines,0,0,0.0,3,0.0,Neutral
128,starship sn &amp sn,0,0,0.0,5,0.0,Neutral
129,in retrospect it was inevitable,0,1,-0.9999990000010001,2,0.499999750000125,Most Negative
130,great shot,1,0,0.9999990000010001,2,0.499999750000125,Most Positive
131,live by the sword die by the sword,0,1,-0.9999990000010001,4,0.24999993750001562,Most Negative
132,entropy,0,0,0.0,1,0.0,Neutral
133,buy &amp hold companies that make goods &amp produce services you love,1,0,0.9999990000010001,12,0.08333332638888948,Most Positive
134,earth is small &amp we are smaller still,0,0,0.0,5,0.0,Neutral
135,u+f,0,0,0.0,1,0.0,Neutral
136,with cyberpunk even the hotfixes literally have hotfixes but great game,1,0,0.9999990000010001,6,0.16666663888889352,Most Positive
137,,0,0,0.0,0,0.0,Neutral
138,the dollar is shorting itself,0,0,0.0,2,0.0,Neutral
139,indeed,0,0,0.0,0,0.0,Neutral
140,shopify is great too spacex used them,1,0,0.9999990000010001,3,0.33333322222225925,Most Positive
141,u+fu+f,0,0,0.0,1,0.0,Neutral
142,indeed the economy making useful products &amp providing great services is what actually matters,2,0,0.99999950000025,9,0.22222219753086697,Most Positive
143,tanstaafl would be better to have small fees than no fees as latter makes robin,1,0,0.9999990000010001,6,0.16666663888889352,Most Positive
144,here come the shorty apologistsgive them no respectget shorty,0,0,0.0,4,0.0,Neutral
145,u cant sell houses u dont ownu cant sell cars u dont ownbut u *can* sell stock u dont ownthis is bs sh,0,1,-0.9999990000010001,16,0.06249999609375024,Most Negative
146,yes,0,0,0.0,0,0.0,Neutral
147,finishing engineering this year production starts next year aiming to have release candidate desig,0,0,0.0,10,0.0,Neutral
148,i made that video,0,0,0.0,2,0.0,Neutral
149,absolutely,0,0,0.0,1,0.0,Neutral
150,unlike its aircraft division which is fine the faa space division has a fundamentally broken reg,1,1,0.0,10,0.19999998000000202,Neutral
151,nomad,0,0,0.0,1,0.0,Neutral
152,u+f,0,0,0.0,1,0.0,Neutral
153,the esthetics of cyberpunk are incredible btw the interior design isu+fc,1,0,0.9999990000010001,7,0.1428571224489825,Most Positive
154,major esthetics improvements coming,1,0,0.9999990000010001,4,0.24999993750001562,Most Positive
155,a little,0,0,0.0,0,0.0,Neutral
156,new roadster is part rocket,0,0,0.0,3,0.0,Neutral
157,theres more storage now &amp easily upgradable,1,0,0.9999990000010001,5,0.199999960000008,Most Positive
158,,0,0,0.0,0,0.0,Neutral
159,yes,0,0,0.0,0,0.0,Neutral
160,yeah probably in a few months,0,0,0.0,2,0.0,Neutral
161,after you drive without using a prnd stalk stick for a few days it gets very annoying to go back &amp use a shifter,0,1,-0.9999990000010001,10,0.09999999000000101,Most Negative
162,no more stalks car guesses drive direction based on what obstacles it sees context &amp nav map you,0,0,0.0,13,0.0,Neutral
163,a hedge fund that shorts is a shrubbery,0,1,-0.9999990000010001,4,0.24999993750001562,Most Negative
164,,0,0,0.0,0,0.0,Neutral
165,yeah also a rear screen,0,0,0.0,3,0.0,Neutral
166,to mph trap speed in a   mile mph top speed with right tires,2,1,0.33333322222225925,8,0.3749999531250059,Positive
167,first production car ever to achieve to mph in less than seconds,0,0,0.0,5,0.0,Neutral
168,it can play cyberpunk,0,0,0.0,2,0.0,Neutral
169,plaid model s ships next month,0,0,0.0,4,0.0,Neutral
170,even discord has gone corpo,0,1,-0.9999990000010001,2,0.499999750000125,Most Negative
171,yup wild times on discord haha,0,2,-0.99999950000025,5,0.399999920000016,Most Negative
172,,0,0,0.0,0,0.0,Neutral
173,waiting for faa review,0,0,0.0,3,0.0,Neutral
174,gamestonk,0,0,0.0,1,0.0,Neutral
175,passed initial pressure test,0,0,0.0,4,0.0,Neutral
176,yes,0,0,0.0,0,0.0,Neutral
177,,0,0,0.0,0,0.0,Neutral
178,bought a hand knit wool marvin the martian helm for my dog,0,0,0.0,8,0.0,Neutral
179,,0,0,0.0,0,0.0,Neutral
180,i kinda love etsy,1,0,0.9999990000010001,3,0.33333322222225925,Most Positive
181,it does not serve the public to hamstring starlink today for an amazon satellite system that is at,0,0,0.0,8,0.0,Neutral
182,were hoping for faa approval of a test flight tomorrow afternoon,1,0,0.9999990000010001,7,0.1428571224489825,Most Positive
183,the entire stack from data collection through labeling &amp inference has to be in surround video th,0,0,0.0,10,0.0,Neutral
184,yes although it will be crazy not to turn on fsd,0,1,-0.9999990000010001,3,0.33333322222225925,Most Negative
185,tesla is steadily moving all nns to camera surround video this will enable superhuman self driving,0,0,0.0,10,0.0,Neutral
186,some tyranny also the road to hell is mostly paved with bad intentions,0,3,-0.9999996666667778,6,0.49999991666668053,Most Negative
187,catchy,1,0,0.9999990000010001,1,0.9999990000010001,Most Positive
188,all sats launched next year will have laser links only o,0,0,0.0,5,0.0,Neutral
189,yup,0,0,0.0,1,0.0,Neutral
190,i hope so,0,0,0.0,1,0.0,Neutral
191,these also have laser links between the satellites so no ground stations are needed over the poles,0,0,0.0,7,0.0,Neutral
192,sorry for the version confusion v is what it should say for fsd separate version number for rest of car,0,2,-0.99999950000025,8,0.24999996875000394,Most Negative
193,to my surprise tesla has better ai hardware &amp software than waymo money,1,0,0.9999990000010001,9,0.11111109876543349,Most Positive
194,it floats,0,0,0.0,1,0.0,Neutral
195,fallout themed opening party for vegas loop happening as soon as allowed,0,1,-0.9999990000010001,8,0.12499998437500197,Most Negative
196,u+fu+f,0,0,0.0,1,0.0,Neutral
197,under vegas in tunnel yesterday with my boys,0,0,0.0,4,0.0,Neutral
198,lasers,0,0,0.0,1,0.0,Neutral
199, spacexs rideshare offering provides increased access to space for small satellite operators seeking a reliable affordable rid,2,0,0.99999950000025,13,0.15384614201183525,Most Positive
200, falcon s first stage has landed on the of course i still love you droneship,1,0,0.9999990000010001,5,0.199999960000008,Most Positive
201, liftoff,0,0,0.0,1,0.0,Neutral
202,u+faf,0,0,0.0,1,0.0,Neutral
203,were switching to a more sensible fsd version numbering to distinguish between major &amp minor updates,1,0,0.9999990000010001,10,0.09999999000000101,Most Positive
204,hopefully early next week,0,0,0.0,2,0.0,Neutral
205, due to unfavorable weather we are standing down from todays launch the team will continue with the countdown until t  seco,0,1,-0.9999990000010001,10,0.09999999000000101,Most Negative
206,given so many other companies are depending on this mission it is getting even more scru,0,0,0.0,4,0.0,Neutral
207,launching many small satellites for a wide range of customers tomorrow excited about offering low cost access to o,1,0,0.9999990000010001,12,0.08333332638888948,Most Positive
208,they are part of the solution but require lots of fresh water &amp land we may need something thats,1,0,0.9999990000010001,9,0.11111109876543349,Most Positive
209,sn,0,0,0.0,1,0.0,Neutral
210,its a good path for fully renewable rocket energy so solves part of problem but longer chain hyd,1,1,0.0,12,0.16666665277777895,Neutral
211,details next week,0,0,0.0,2,0.0,Neutral
212,am donating m towards a prize for best carbon capture technology,2,0,0.99999950000025,5,0.399999920000016,Most Positive
213,pretty much,1,0,0.9999990000010001,1,0.9999990000010001,Most Positive
214,that would probably mean civilization is doing gr,0,0,0.0,2,0.0,Neutral
215,,0,0,0.0,0,0.0,Neutral
216,absolutely they rock u+fa,0,0,0.0,3,0.0,Neutral
217, falcon launches starlink to orbit the eighth launch and landing of this booster,0,0,0.0,8,0.0,Neutral
218,the rate limiting part or process in cell production is constantly changing,0,0,0.0,8,0.0,Neutral
219,cars &amp trucks stuck in traffic generate megatons of toxic gases &amp particulate but,0,2,-0.99999950000025,13,0.15384614201183525,Most Negative
220,with our giant casting machines we are literally trying to make full size car,0,0,0.0,8,0.0,Neutral
221,tegmark is an exceptionally smart &amp good human,3,0,0.9999996666667778,7,0.4285713673469475,Most Positive
222,the best manufacturing technology is in ultra high volume industries like food &amp beverage some medical eg syringes &amp toys,2,0,0.99999950000025,15,0.13333332444444504,Most Positive
223,battery cell production is the fundamental rate limiter slowing down a sustainable energy future very important pr,2,0,0.99999950000025,12,0.16666665277777895,Most Positive
224,looking into this no question that fsd should be viewed as reasonably valuable when doing a trade in,2,0,0.99999950000025,5,0.399999920000016,Most Positive
225,for sure,0,0,0.0,0,0.0,Neutral
226,glad youre ok,1,0,0.9999990000010001,2,0.499999750000125,Most Positive
227,congratulations,1,0,0.9999990000010001,1,0.9999990000010001,Most Positive
228,this is a good one,1,0,0.9999990000010001,1,0.9999990000010001,Most Positive
229,i whistle,0,0,0.0,1,0.0,Neutral
230,cybertruck doesnt need a garage,0,0,0.0,3,0.0,Neutral
231,it will be awesome,1,0,0.9999990000010001,1,0.9999990000010001,Most Positive
232,good point,1,0,0.9999990000010001,2,0.499999750000125,Most Positive
233,your server side code is doing too much,0,0,0.0,3,0.0,Neutral
234,happy birthday wikipedia so glad you exist,2,0,0.99999950000025,5,0.399999920000016,Most Positive
235,guess you been watching cobra kai,0,0,0.0,4,0.0,Neutral
236,fallout new texas,0,1,-0.9999990000010001,2,0.499999750000125,Most Negative
237,only chuck norris can divide by zero,0,0,0.0,3,0.0,Neutral
238,good point,1,0,0.9999990000010001,2,0.499999750000125,Most Positive
239,the thing we call money is just an information system for labor allocation what actuall,0,0,0.0,8,0.0,Neutral
240,monty python is amazing,1,0,0.9999990000010001,3,0.33333322222225925,Most Positive
241,they sure can twist the knife in that show,0,2,-0.99999950000025,3,0.6666664444445185,Most Negative
242,probably wise,1,0,0.9999990000010001,1,0.9999990000010001,Most Positive
243,were making major improvements to ease of engine swap needs to be a few hours at most,2,0,0.99999950000025,7,0.285714244897965,Most Positive
244,two of the engines need slight repairs so will be switched out,0,0,0.0,4,0.0,Neutral
245,nice shot,1,0,0.9999990000010001,2,0.499999750000125,Most Positive
246,we dont have high school internships but please apply when youre in college,0,0,0.0,7,0.0,Neutral
247,prototypes are easy volume production is hard positive cash flow is excruciating,2,2,0.0,9,0.44444439506173394,Neutral
248,physics,0,0,0.0,1,0.0,Neutral
249, splashdown of dragon confirmed completing spacexs st resupply mission and the first return of a cargo resupp,0,0,0.0,11,0.0,Neutral
250,detanking &amp inspections now good progress towards our hop in &amp go to mars goal,2,0,0.99999950000025,11,0.1818181652892577,Most Positive
251,all three static fires completed &amp no ruds,0,1,-0.9999990000010001,6,0.16666663888889352,Most Negative
252,wow a lot has happened in years,1,0,0.9999990000010001,4,0.24999993750001562,Most Positive
253,fair enough haha,2,0,0.99999950000025,2,0.99999950000025,Most Positive
254,,0,0,0.0,0,0.0,Neutral
255,sea shanty tiktok takes it to a new level with actual pirate ships,0,0,0.0,8,0.0,Neutral
256,sure,0,0,0.0,0,0.0,Neutral
257,today at spacex is about practicing starship engine starts ship is held down by massive pins while engines are fir,0,0,0.0,12,0.0,Neutral
258,as promised,1,0,0.9999990000010001,1,0.9999990000010001,Most Positive
259,legalize comedy,0,0,0.0,2,0.0,Neutral
260,you can steal our name logos &amp we probably wont sue you,0,2,-0.99999950000025,6,0.33333327777778704,Most Negative
261,were just trying to get people to mars help would be appreciated,1,0,0.9999990000010001,3,0.33333322222225925,Most Positive
262,one day we will get a camera up there that also shows the star field in the background,0,0,0.0,6,0.0,Neutral
263, separation confirmed dragon performing departure burns to move away from the,0,1,-0.9999990000010001,7,0.1428571224489825,Most Negative
264,suicide is more than double homicide,0,1,-0.9999990000010001,3,0.33333322222225925,Most Negative
265,absolutely,0,0,0.0,1,0.0,Neutral
266,hey you yeah you queen youre gonna make it u+fu+f,0,0,0.0,8,0.0,Neutral
267,hate to say it but might be true,0,1,-0.9999990000010001,2,0.499999750000125,Most Negative
268,the robot future is coming,0,0,0.0,3,0.0,Neutral
269,km every millisecond but there are times i wish it were faster,1,0,0.9999990000010001,4,0.24999993750001562,Most Positive
270,,0,0,0.0,0,0.0,Neutral
271,,0,0,0.0,0,0.0,Neutral
272,mus protec u+f yoda,0,0,0.0,4,0.0,Neutral
273,u+eu+d u+u+bu+b u+u+u+bu+u+au+eu+bu+u+fu+u+d,0,0,0.0,3,0.0,Neutral
274,this is an important distinction,2,0,0.99999950000025,2,0.99999950000025,Most Positive
275,much more than this &amp increasing rapidly,0,0,0.0,4,0.0,Neutral
276,it is,0,0,0.0,0,0.0,Neutral
277,once in a while something happens that is even better than we imagined,1,0,0.9999990000010001,1,0.9999990000010001,Most Positive
278,the factory is the product,0,0,0.0,2,0.0,Neutral
279,probably commenting on will do more,0,0,0.0,1,0.0,Neutral
280,i bought the replacement glass from a junkyard for  theyre great places to get spare parts,1,1,0.0,9,0.22222219753086697,Neutral
281,a lot of people are going to be super unhappy with west coast high tech as the de facto arbiter of free speech,2,1,0.33333322222225925,13,0.23076921301775286,Positive
282,already donated to signal a year ago will donate more,0,0,0.0,5,0.0,Neutral
283,i am primarily trying to advance two causes sustainable energy &amp extending life consciousness beyond e,1,0,0.9999990000010001,9,0.11111109876543349,Most Positive
284,u+fu+f,0,0,0.0,1,0.0,Neutral
285,maybe a tesla ai day later this year,0,0,0.0,4,0.0,Neutral
286,the prancing pony,0,0,0.0,2,0.0,Neutral
287,u+fu+f,0,0,0.0,1,0.0,Neutral
288,u+f,0,0,0.0,1,0.0,Neutral
289,its true,0,0,0.0,1,0.0,Neutral
290,yes but not for long,0,0,0.0,1,0.0,Neutral
291,yeah they seemed optimistic too,1,0,0.9999990000010001,2,0.499999750000125,Most Positive
292,my  year old son saxon said he feels like will be a good year i agree let us all make it so,2,0,0.99999950000025,8,0.24999996875000394,Most Positive
293,was also thinking that spacex boca should hold fun parties and give tours for the community from time to time,1,0,0.9999990000010001,11,0.09090908264462885,Most Positive
294,i super support public spaces around our production &amp launch sites wherever it can be done,2,0,0.99999950000025,9,0.22222219753086697,Most Positive
295,that too,0,0,0.0,0,0.0,Neutral
296,catapult high into the air &amp land on the roof with a base jumping parachute the only way to travel,0,0,0.0,11,0.0,Neutral
297,thats actually our restaurant but spacex is building a futuristic bar at the top of the h,2,0,0.99999950000025,6,0.33333327777778704,Most Positive
298,and increase fun hopefully,1,0,0.9999990000010001,2,0.499999750000125,Most Positive
299,me neither,0,0,0.0,0,0.0,Neutral
300,one of the best tesla solar roof installations,1,0,0.9999990000010001,4,0.24999993750001562,Most Positive
301,no but maybe one day,0,0,0.0,1,0.0,Neutral
302,yes that would be the best way to do it a large solar field or reactor is needed for po,1,0,0.9999990000010001,6,0.16666663888889352,Most Positive
303,his sick beats,0,1,-0.9999990000010001,2,0.499999750000125,Most Negative
304,probably less than a few dozen primary decision makers technically only three,0,0,0.0,5,0.0,Neutral
305,or at least the option for verification so that the public can ascribe more credibilit,0,0,0.0,5,0.0,Neutral
306,launch underway,0,0,0.0,2,0.0,Neutral
307,btw critical feedback is always super appreciated as well as ways to donate money that really make a difference way harder than it seems,3,1,0.49999987500003124,11,0.3636363305785154,Positive
308,yup,0,0,0.0,1,0.0,Neutral
309,indirectly an electric rocket is possible by using electricity to convert co+ho &gt ch+o this,0,0,0.0,9,0.0,Neutral
310,not to get to orbit unfortunately in space photon emission powered by matter antimatter annihila,0,1,-0.9999990000010001,8,0.12499998437500197,Most Negative
311,this will be hard to make as it isnt like any other vehicle,1,1,0.0,4,0.49999987500003124,Neutral
312,playing the long game,0,0,0.0,3,0.0,Neutral
313,true,0,0,0.0,1,0.0,Neutral
314,i hope so wings dont work on the moon at all and def not well on mars also no runways,2,0,0.99999950000025,8,0.24999996875000394,Most Positive
315,hamiltonians have +v the potential of langrangians and a play,0,0,0.0,5,0.0,Neutral
316,,0,0,0.0,0,0.0,Neutral
317,well back to work,2,0,0.99999950000025,2,0.99999950000025,Most Positive
318,how strange,0,1,-0.9999990000010001,1,0.9999990000010001,Most Negative
319,use signal,0,0,0.0,1,0.0,Neutral
320,ya dont say reminds me of this timeless classic,1,0,0.9999990000010001,5,0.199999960000008,Most Positive
321,fast water with tiny rocks,1,0,0.9999990000010001,4,0.24999993750001562,Most Positive
322,yes and then occams razor is actually third most likely,0,0,0.0,2,0.0,Neutral
323,as seen from an external observer not the participants,0,0,0.0,3,0.0,Neutral
324,the most entertaining outcome is the most likely,1,0,0.9999990000010001,2,0.499999750000125,Most Positive
325,dumb and dumber is a great movie tho,1,1,0.0,5,0.399999920000016,Neutral
326,this is called the domino effect,0,0,0.0,3,0.0,Neutral
327,,0,0,0.0,0,0.0,Neutral
328,because of the large footprint it may seem flat but actually ranges up to stories tall,0,0,0.0,6,0.0,Neutral
329,snow falling on giga berlin,0,1,-0.9999990000010001,4,0.24999993750001562,Most Negative
330,yes,0,0,0.0,0,0.0,Neutral
331,u+f,0,0,0.0,1,0.0,Neutral
332,tesla is responsible for   of all the personal &amp professional pain in my life combined but it was worth it,1,1,0.0,10,0.19999998000000202,Neutral
333,so proud of the tesla team for achieving this major milestone at the start of tesla i thought we had optimistica,1,0,0.9999990000010001,10,0.09999999000000101,Most Positive
334, in  we produced and delivered half a million cars huge thanks to all those who made this possible,0,0,0.0,7,0.0,Neutral
335,um we have giant fusion reactor in the sky that works with no maintenance,1,0,0.9999990000010001,7,0.1428571224489825,Most Positive
336,tesla full self driving will work at a safety level well above that of the average driver this year of t,2,0,0.99999950000025,9,0.22222219753086697,Most Positive
337,dojo isnt needed but will make self driving better it isnt enough to be safer than human drivers aut,2,0,0.99999950000025,10,0.19999998000000202,Most Positive
338,ignore the heading,0,1,-0.9999990000010001,2,0.499999750000125,Most Negative
339,great interview with mathias dpfner,1,0,0.9999990000010001,4,0.24999993750001562,Most Positive
340,u+fa the greatest gatsby u+fa,1,0,0.9999990000010001,4,0.24999993750001562,Most Positive
341,inspired by the ballet,0,0,0.0,2,0.0,Neutral
342,rocket motion is primarily vertical so you want the top open,1,0,0.9999990000010001,6,0.16666663888889352,Most Positive
343,lets make the roaring s again,0,0,0.0,3,0.0,Neutral
344,might be a few lumps along the way,0,0,0.0,1,0.0,Neutral
345,production is hard prototypes are easy building ~ starships to create a s,1,1,0.0,8,0.24999996875000394,Neutral
346,exactly,0,0,0.0,0,0.0,Neutral
347,haha,0,0,0.0,1,0.0,Neutral
348,sn will press ch header tank with helium long term solution is under debate,0,1,-0.9999990000010001,10,0.09999999000000101,Most Negative
349,yes,0,0,0.0,0,0.0,Neutral
350,legs would certainly work but best part is no part best step is no step,3,0,0.9999996666667778,6,0.49999991666668053,Most Positive
